Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
1,03.04.2019,Трафік мобільних пристроїв,0.029
2,03.04.2019,Трафік мобільних пристроїв,0.039
5,03.04.2019,Трафік мобільних пристроїв,0.073
8,03.04.2019,Трафік мобільних пристроїв,0.052
15,03.04.2019,Трафік мобільних пристроїв,0.511
23,03.04.2019,Трафік мобільних пристроїв,0.067
2,04.04.2019,Трафік мобільних пристроїв,0.046
8,04.04.2019,Трафік мобільних пристроїв,0.057
10,04.04.2019,Трафік мобільних пристроїв,0.072
11,04.04.2019,Трафік мобільних пристроїв,0.049
21,04.04.2019,Трафік мобільних пристроїв,0.701
2,05.04.2019,Трафік мобільних пристроїв,0.034
3,05.04.2019,Трафік мобільних пристроїв,0.441
7,05.04.2019,Трафік мобільних пристроїв,0.067
12,05.04.2019,Трафік мобільних пристроїв,0.076
18,05.04.2019,Трафік мобільних пристроїв,0.543
4,06.04.2019,Трафік мобільних пристроїв,0.073
19,06.04.2019,Трафік мобільних пристроїв,0.610
0,07.04.2019,Трафік мобільних пристроїв,0.067
14,07.04.2019,Трафік мобільних пристроїв,0.441
1,08.04.2019,Трафік мобільних пристроїв,0.055
6,08.04.2019,Трафік мобільних пристроїв,0.020
9,08.04.2019,Трафік мобільних пристроїв,0.067
20,08.04.2019,Трафік мобільних пристроїв,0.441
0,09.04.2019,Трафік мобільних пристроїв,0.050
1,09.04.2019,Трафік мобільних пристроїв,0.060
3,09.04.2019,Трафік мобільних пристроїв,0.039
7,09.04.2019,Трафік мобільних пристроїв,0.075
12,09.04.2019,Трафік мобільних пристроїв,0.488
20,09.04.2019,Трафік мобільних пристроїв,0.590
22,09.04.2019,Трафік мобільних пристроїв,0.602
8,10.04.2019,Трафік мобільних пристроїв,0.072
3,11.04.2019,Трафік мобільних пристроїв,0.044
4,11.04.2019,Трафік мобільних пристроїв,0.031
16,11.04.2019,Трафік мобільних пристроїв,0.476
17,11.04.2019,Трафік мобільних пристроїв,0.455
20,12.04.2019,Трафік мобільних пристроїв,0.485
21,12.04.2019,Трафік мобільних пристроїв,0.556
22,13.04.2019,Трафік мобільних пристроїв,0.576
4,14.04.2019,Трафік мобільних пристроїв,0.044
9,14.04.2019,Трафік мобільних пристроїв,0.060
10,14.04.2019,Трафік мобільних пристроїв,0.068
7,15.04.2019,Трафік мобільних пристроїв,0.073
9,15.04.2019,Трафік мобільних пристроїв,0.072
16,15.04.2019,Трафік мобільних пристроїв,0.076
19,15.04.2019,Трафік мобільних пристроїв,0.033
20,15.04.2019,Трафік мобільних пристроїв,0.055
22,15.04.2019,Трафік мобільних пристроїв,0.468
7,16.04.2019,Трафік мобільних пристроїв,0.055
10,16.04.2019,Трафік мобільних пристроїв,0.502
11,16.04.2019,Трафік мобільних пристроїв,0.068
20,16.04.2019,Трафік мобільних пристроїв,0.462
2,17.04.2019,Трафік мобільних пристроїв,0.023
12,17.04.2019,Трафік мобільних пристроїв,0.039
18,17.04.2019,Трафік мобільних пристроїв,0.460
21,17.04.2019,Трафік мобільних пристроїв,0.029
23,17.04.2019,Трафік мобільних пристроїв,0.049
4,18.04.2019,Трафік мобільних пристроїв,0.062
18,18.04.2019,Трафік мобільних пристроїв,0.724
0,19.04.2019,Трафік мобільних пристроїв,0.551
2,19.04.2019,Трафік мобільних пристроїв,0.075
3,19.04.2019,Трафік мобільних пристроїв,0.039
7,19.04.2019,Трафік мобільних пристроїв,0.036
8,19.04.2019,Трафік мобільних пристроїв,0.067
3,20.04.2019,Трафік мобільних пристроїв,0.457
4,20.04.2019,Трафік мобільних пристроїв,0.050
16,20.04.2019,Трафік мобільних пристроїв,0.054
1,21.04.2019,Трафік мобільних пристроїв,0.031
8,21.04.2019,Трафік мобільних пристроїв,0.057
1,22.04.2019,Трафік мобільних пристроїв,0.059
7,22.04.2019,Трафік мобільних пристроїв,0.450
17,22.04.2019,Трафік мобільних пристроїв,0.546
23,22.04.2019,Трафік мобільних пристроїв,0.050
1,23.04.2019,Трафік мобільних пристроїв,0.033
4,23.04.2019,Трафік мобільних пристроїв,0.073
16,23.04.2019,Трафік мобільних пристроїв,0.062
20,23.04.2019,Трафік мобільних пристроїв,0.442
11,24.04.2019,Трафік мобільних пристроїв,0.059
18,24.04.2019,Трафік мобільних пристроїв,0.070
1,25.04.2019,Трафік мобільних пристроїв,0.057
10,25.04.2019,Трафік мобільних пристроїв,0.046
14,25.04.2019,Трафік мобільних пристроїв,0.454
9,26.04.2019,Трафік мобільних пристроїв,0.467
22,26.04.2019,Трафік мобільних пристроїв,0.037
0,27.04.2019,Трафік мобільних пристроїв,0.062
3,27.04.2019,Трафік мобільних пристроїв,0.065
6,28.04.2019,Трафік мобільних пристроїв,0.073
10,28.04.2019,Трафік мобільних пристроїв,0.068
23,28.04.2019,Трафік мобільних пристроїв,0.036
18,29.04.2019,Трафік мобільних пристроїв,0.059
22,29.04.2019,Трафік мобільних пристроїв,0.442
2,30.04.2019,Трафік мобільних пристроїв,0.029
13,30.04.2019,Трафік мобільних пристроїв,0.073
