# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000021,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:31
000021,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:41
000021,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:50
000022,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:35
000022,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:58
000022,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:04
000023,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:06
000023,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:50
000023,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:31
000024,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:36
000024,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:50
000024,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:39
000025,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:34
000025,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:15
000025,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:05
000026,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:01
000026,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:22
000026,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:00
000027,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:16
000027,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:38
000027,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:34
000028,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:13
