# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000361,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:48
000362,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:46
000362,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:54
000362,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:41
000363,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:06
000363,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:00:38
000363,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:10:15
000364,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:57
000364,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:25
000364,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:40
000365,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:08
000365,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:48
000365,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:14
000366,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:11
000366,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:06
000366,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:22
000367,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:32
000367,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:52
000367,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:14
000368,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:01
000368,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:38
000368,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:43
000369,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:21
000369,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:55
000369,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:48
000370,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:49
000370,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:32
000370,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:04
000371,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:56
000371,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:44
000371,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:27
000372,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:27
000372,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:59
000372,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:02
000373,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:22
000373,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:08
000373,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:01
000374,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:51
000374,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:28
000374,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:05:09
000375,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:45
000375,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:13
000375,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:47
000376,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:09
000376,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:07:06
000376,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:18
000377,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:42
000377,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:05
000377,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:54
000378,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:15
000378,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:37
000378,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:09
000379,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:13
000379,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:16
000379,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:39
000380,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:39
000380,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:33
000380,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:50
000381,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:42
000381,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:06:32
000381,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:03
000382,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:45
000382,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:54
000382,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:49
000383,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:55
000383,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:47
000383,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:53
000384,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:16
000384,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:29
000384,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:12
000385,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:25
000385,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:14
000385,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:55
000386,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:58
000386,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:53
000386,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:35
000387,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:04
000387,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:32
000387,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:05:08
000388,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:44
000388,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:06
000388,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:51
000389,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:48
000389,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:45
000389,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:20
000390,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:20
000390,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:17
000390,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:49
000391,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:55
000391,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:00:59
000391,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:36
000392,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:04
000392,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:02
000392,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:56
000393,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:04
000393,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:22
000393,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:03
000394,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:23
000394,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:14
000394,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:03
000395,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:17
000395,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:19
000395,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:05:03
000396,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:55
000396,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:40
000396,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:16
000397,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:53
000397,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:42
000397,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:21
000398,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:50
000398,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:17
000398,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:40
000399,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:55
000399,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:23
000399,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:22
000400,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:30
000400,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:54
000400,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:19
000401,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:41
000401,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:13
000401,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:27
000402,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:07
000402,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:58
000402,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:26
000403,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:34
000403,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:20
000403,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:46
000404,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:33
000404,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:23
000404,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:37
000405,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:49
000405,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:45
000405,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:40
000406,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:16
000406,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:39
000406,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:44
000407,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:30
000407,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:37
000407,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:44
000408,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:24
000408,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:22
000408,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:33
000409,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:05:44
000409,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:20
000409,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:02
000410,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:05
000410,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:26
000410,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:52
000411,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:05:21
000411,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:21
000411,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:22
000412,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:12
000412,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:35
000412,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:01
000413,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:53
000413,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:14
000413,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:41
000414,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:17
000414,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:43
000414,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:41
000415,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:54
000415,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:11
000415,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:33
000416,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:08
000416,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:46
000416,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:20
000417,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:47
000417,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:45
000417,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:23
000418,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:02
000418,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:31
000418,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:53
000419,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:17
000419,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:31
000419,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:24
000420,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:39
000420,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:57
000420,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:30
000421,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:17
000421,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:24
000421,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:46
000422,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:49
000422,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:33
000422,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:48
000423,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:20
000423,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:52
000423,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:07
000424,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:06
000424,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:51
000424,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:25
000425,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:32
000425,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:47
000425,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:48
000426,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:27
000426,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:46
000426,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:52
000427,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:12
000427,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:13
000427,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:40
000428,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:47
000428,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:52
000428,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:46
000429,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:39
000429,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:17
000429,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:12
000430,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:43
000430,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:15
000430,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:50
000431,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:23
000431,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:26
000431,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:20
000432,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:10
000432,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:58
000432,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:38
000433,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:04:38
000433,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:49
000433,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:00
000434,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:04
000434,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:19
000434,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:56
000435,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:32
000435,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:01
000435,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:33
000436,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:09
000436,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:40
000436,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:35
000437,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:39
000437,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:38
000437,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:58
000438,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:54
000438,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:41
000438,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:15
000439,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:54
000439,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:47
000439,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:39
000440,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:55
000440,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:33
000440,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:19
000441,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:21
000441,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:03
000441,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:35
000442,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:54
000442,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:10
000442,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:06:06
000443,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:52
000443,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:51
000443,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:45
000444,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:52
000444,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:27
000444,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:19
000445,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:46
000445,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:22
000445,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:42
000446,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:05:10
000446,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:05:10
000446,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:51
000447,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:42
000447,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:30
000447,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:18
000448,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:05
000448,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:44
000448,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:00
000449,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:44
000449,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:32
000449,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:44
000450,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:42
000450,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:58
000450,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:52
000451,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:47
000451,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:42
000451,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:19
000452,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:03
000452,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:17
000452,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:53
000453,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:39
000453,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:13
000453,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:49
000454,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:14
000454,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:44
000454,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:21
000455,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:13
000455,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:30
000455,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:10
000456,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:24
000456,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:06
000456,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:19
000457,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:26
000457,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:48
000457,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:22
000458,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:02
000458,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:12
000458,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:19
000459,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:20
000459,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:32
000459,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:08
000460,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:34
000460,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:51
000460,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:13
000461,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:43
000461,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:27
000461,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:45
000462,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:12
000462,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:43
000462,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:28
000463,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:51
000463,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:57
000463,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:31
000464,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:59
000464,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:22
000464,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:34
000465,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:07
000465,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:55
000465,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:52
000466,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:39
000466,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:40
000466,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:37
000467,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:20
000467,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:10
000467,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:03:10
000468,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:35
000468,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:24
000468,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:42
000469,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:49
